0--	M, 140283989721088, 64
1973--	M, 140283989726528, 458
1974--	M, 140283989734544, 163
1975--	M, 140283989728304, 68
1976--	F, 140283989773712
1977--	F, 140283989745728
1978--	M, 140283989782016, 326
1979--	F, 140283989734096
1980--	M, 140283989736928, 76
1981--	M, 140283989745728, 236
1982--	F, 140283989767776
1983--	F, 140283989723872
1984--	M, 140283989735008, 70
1985--	F, 140283989768704
1986--	M, 140283989753184, 417
1987--	M, 140283989789792, 353
1988--	M, 140283989782720, 371
1989--	F, 140283989756384
1990--	M, 140283989762992, 114
1991--	F, 140283989733328
1992--	F, 140283989787392
1993--	M, 140283989756384, 238
1994--	M, 140283989773696, 285
1995--	F, 140283989738016
1996--	M, 140283989800272, 96
1997--	F, 140283989721584
1998--	F, 140283989749824
1999--	M, 140283989738016, 267
2000--	F, 140283989735616
2001--	F, 140283989763904
2002--	M, 140283989721584, 115
2003--	F, 140283989727552
2004--	M, 140283989749792, 472
2005--	M, 140283989723872, 262
2006--	F, 140283989749520
2007--	F, 140283989798448
2008--	M, 140283989767728, 123
2009--	M, 140283989735584, 169
2010--	M, 140283989734096, 434
2011--	M, 140283989763888, 330
2012--	F, 140283989744528
2013--	F, 140283989794144
2014--	M, 140283989798448, 496
2015--	M, 140283989733328, 187
2016--	M, 140283989772544, 221
2017--	M, 140283989799408, 332
2018--	M, 140283989743504, 146
2019--	M, 140283989754704, 482
2020--	M, 140283989727552, 108
2021--	M, 140283989744528, 101
2022--	F, 140283989764272
2023--	M, 140283989794144, 460
2024--	F, 140283989727392
2025--	M, 140283989789200, 87
2026--	M, 140283989749504, 171
2027--	F, 140283989755984
2028--	F, 140283989775808
2029--	M, 140283989755984, 197
2030--	M, 140283989727392, 130
2031--	F, 140283989746944
2032--	M, 140283989775808, 467
2033--	M, 140283989746944, 107
2034--	M, 140283989750512, 292
2035--	M, 140283989759840, 343
2036--	M, 140283989760192, 162
2037--	F, 140283989772096
2038--	M, 140283989744640, 135
2039--	F, 140283989736240
2040--	F, 140283989722384
2041--	M, 140283989750816, 254
2042--	F, 140283989723568
2043--	F, 140283989763536
2044--	M, 140283989764224, 378
2045--	M, 140283989768016, 446
2046--	M, 140283989757280, 454
2047--	F, 140283989732656
2048--	M, 140283989723568, 298
2049--	M, 140283989768464, 275
2050--	F, 140283989729504
2051--	F, 140283989748336
2052--	F, 140283989785200
2053--	M, 140283989736224, 154
2054--	F, 140283989753760
2055--	F, 140283989734544
2056--	M, 140283989734544, 167
2057--	F, 140283989762432
2058--	M, 140283989763536, 81
2059--	F, 140283989746448
2060--	F, 140283989793328
2061--	F, 140283989778656
2062--	F, 140283989732736
2063--	M, 140283989756192, 127
2064--	M, 140283989729504, 133
2065--	M, 140283989764608, 183
2066--	F, 140283989736224
2067--	M, 140283989736224, 153
2068--	F, 140283989760192
2069--	M, 140283989762416, 250
2070--	F, 140283989733216
2071--	M, 140283989785200, 497
2072--	M, 140283989753760, 290
2073--	F, 140283989765280
2074--	M, 140283989760192, 158
2075--	M, 140283989778656, 198
2076--	F, 140283989768016
2077--	M, 140283989765280, 195
2078--	F, 140283989765616
2079--	M, 140283989757744, 170
2080--	M, 140283989768016, 287
2081--	M, 140283989765488, 321
2082--	F, 140283989757072
2083--	M, 140283989793312, 464
2084--	M, 140283989748320, 450
2085--	M, 140283989732656, 474
2086--	F, 140283989801360
2087--	F, 140283989723248
2088--	F, 140283989735952
2089--	M, 140283989801344, 322
2090--	M, 140283989765824, 121
2091--	M, 140283989770112, 434
2092--	M, 140283989768752, 93
2093--	F, 140283989772768
2094--	F, 140283989758512
2095--	F, 140283989794144
2096--	F, 140283989790512
2097--	M, 140283989770560, 477
2098--	M, 140283989722384, 96
2099--	M, 140283989768304, 147
2100--	M, 140283989801680, 158
2101--	F, 140283989760192
2102--	M, 140283989723248, 168
2103--	F, 140283989747568
2104--	F, 140283989765824
2105--	F, 140283989749392
2106--	F, 140283989744528
2107--	F, 140283989742288
2108--	M, 140283989760192, 216
2109--	M, 140283989735952, 247
2110--	M, 140283989758512, 208
2111--	M, 140283989757072, 200
2112--	F, 140283989755504
2113--	F, 140283989758720
2114--	M, 140283989742240, 306
2115--	F, 140283989725456
2116--	F, 140283989733520
2117--	M, 140283989725456, 316
2118--	F, 140283989788768
2119--	M, 140283989747568, 278
2120--	F, 140283989750272
2121--	F, 140283989769408
2122--	F, 140283989725072
2123--	M, 140283989790512, 129
2124--	M, 140283989794144, 458
2125--	F, 140283989780080
2126--	F, 140283989747056
2127--	M, 140283989780080, 53
2128--	F, 140283989784080
2129--	M, 140283989733136, 178
2130--	M, 140283989725072, 358
2131--	F, 140283989762752
2132--	F, 140283989758512
2133--	M, 140283989772768, 276
2134--	F, 140283989727232
2135--	M, 140283989762672, 273
2136--	M, 140283989784048, 398
2137--	F, 140283989790656
2138--	F, 140283989772368
2139--	M, 140283989750272, 238
2140--	M, 140283989755504, 198
2141--	F, 140283989779792
2142--	M, 140283989727232, 157
2143--	M, 140283989788768, 416
2144--	F, 140283989788432
2145--	F, 140283989782720
2146--	F, 140283989764224
2147--	F, 140283989785824
2148--	M, 140283989764224, 357
2149--	F, 140283989736624
2150--	M, 140283989782720, 402
2151--	M, 140283989788432, 330
2152--	F, 140283989780144
2153--	M, 140283989747056, 350
2154--	F, 140283989734096
2155--	M, 140283989780144, 372
2156--	F, 140283989787952
2157--	F, 140283989762416
2158--	M, 140283989779792, 279
2159--	F, 140283989794608
2160--	M, 140283989764800, 61
2161--	F, 140283989728944
2162--	M, 140283989757920, 129
2163--	M, 140283989762416, 214
2164--	M, 140283989734096, 391
2165--	F, 140283989782016
2166--	F, 140283989727664
2167--	M, 140283989782016, 343
2168--	F, 140283989767408
2169--	M, 140283989787952, 407
2170--	F, 140283989773488
2171--	M, 140283989736624, 274
2172--	M, 140283989758512, 433
2173--	F, 140283989746944
2174--	F, 140283989737936
2175--	F, 140283989777328
2176--	M, 140283989773488, 137
2177--	F, 140283989747568
2178--	M, 140283989733520, 448
2179--	M, 140283989747568, 217
2180--	M, 140283989737936, 76
2181--	F, 140283989778112
2182--	F, 140283989749024
2183--	F, 140283989755984
2184--	F, 140283989742240
2185--	M, 140283989773632, 60
2186--	M, 140283989727664, 361
2187--	M, 140283989777328, 237
2188--	F, 140283989765280
2189--	F, 140283989794144
2190--	F, 140283989752720
2191--	M, 140283989746928, 123
2192--	F, 140283989769808
2193--	F, 140283989742992
2194--	F, 140283989755504
2195--	M, 140283989769808, 66
2196--	F, 140283989778880
2197--	M, 140283989767408, 298
2198--	F, 140283989759312
2199--	F, 140283989778528
2200--	F, 140283989730032
2201--	F, 140283989738528
2202--	M, 140283989778080, 411
2203--	M, 140283989742240, 329
2204--	F, 140283989723248
2205--	M, 140283989723248, 176
2206--	F, 140283989789200
2207--	M, 140283989738528, 479
2208--	M, 140283989789200, 83
2209--	M, 140283989725776, 108
2210--	F, 140283989762672
2211--	F, 140283989731760
2212--	M, 140283989728944, 115
2213--	M, 140283989749024, 408
2214--	F, 140283989739232
2215--	M, 140283989762640, 352
2216--	M, 140283989765280, 169
2217--	M, 140283989785824, 276
2218--	M, 140283989742992, 460
2219--	M, 140283989769408, 273
2220--	M, 140283989739232, 199
2221--	F, 140283989735584
2222--	M, 140283989755504, 235
2223--	M, 140283989778496, 137
2224--	F, 140283989724656
2225--	F, 140283989728944
2226--	M, 140283989728944, 114
2227--	M, 140283989749440, 63
2228--	F, 140283989761872
2229--	M, 140283989735584, 151
2230--	M, 140283989765824, 117
2231--	F, 140283989735008
2232--	F, 140283989747056
2233--	F, 140283989801344
2234--	F, 140283989744432
2235--	F, 140283989756192
2236--	F, 140283989763888
2237--	F, 140283989741296
2238--	F, 140283989779264
2239--	M, 140283989761840, 112
2240--	M, 140283989778864, 398
2241--	M, 140283989755984, 298
2242--	M, 140283989747056, 338
2243--	M, 140283989724656, 409
2244--	M, 140283989744416, 155
2245--	F, 140283989749504
2246--	M, 140283989771040, 480
2247--	F, 140283989778496
2248--	M, 140283989744576, 52
2249--	M, 140283989759312, 157
2250--	M, 140283989779264, 108
2251--	M, 140283989759472, 95
2252--	F, 140283989780080
2253--	M, 140283989778496, 157
2254--	F, 140283989763632
2255--	M, 140283989749504, 170
2256--	M, 140283989730032, 343
2257--	F, 140283989784880
2258--	F, 140283989757072
2259--	F, 140283989778080
2260--	M, 140283989784880, 276
2261--	M, 140283989801344, 288
2262--	M, 140283989741280, 310
2263--	F, 140283989735456
2264--	F, 140283989773696
2265--	M, 140283989749680, 105
2266--	F, 140283989722496
2267--	M, 140283989722480, 340
2268--	M, 140283989773696, 222
2269--	M, 140283989763632, 429
2270--	F, 140283989772544
2271--	M, 140283989778080, 395
2272--	M, 140283989731760, 364
2273--	M, 140283989772544, 218
2274--	F, 140283989748784
2275--	M, 140283989752720, 215
2276--	F, 140283989778656
2277--	F, 140283989737152
2278--	M, 140283989771520, 316
2279--	M, 140283989778656, 178
2280--	M, 140283989780080, 54
2281--	F, 140283989785824
2282--	F, 140283989731024
2283--	M, 140283989757072, 202
2284--	F, 140283989753088
2285--	M, 140283989771840, 365
2286--	M, 140283989748784, 224
2287--	M, 140283989785824, 269
2288--	F, 140283989734752
2289--	M, 140283989774576, 434
2290--	F, 140283989784048
2291--	M, 140283989753088, 95
2292--	M, 140283989775024, 478
2293--	M, 140283989772208, 275
2294--	M, 140283989734720, 366
2295--	F, 140283989738352
2296--	F, 140283989799408
2297--	F, 140283989757072
2298--	M, 140283989735456, 123
2299--	F, 140283989799824
2300--	F, 140283989723568
2301--	M, 140283989799408, 498
2302--	M, 140283989788368, 63
2303--	M, 140283989799920, 352
2304--	M, 140283989790656, 489
2305--	M, 140283989773920, 89
2306--	M, 140283989723568, 270
2307--	M, 140283989784048, 341
2308--	F, 140283989745632
2309--	M, 140283989784400, 65
2310--	F, 140283989722048
2311--	M, 140283989724144, 57
2312--	M, 140283989757072, 206
2313--	M, 140283989791152, 471
2314--	M, 140283989791632, 346
2315--	F, 140283989785824
2316--	F, 140283989763136
2317--	M, 140283989791984, 493
2318--	F, 140283989722848
2319--	M, 140283989785824, 317
2320--	M, 140283989792480, 439
2321--	F, 140283989736400
2322--	F, 140283989788768
2323--	F, 140283989776304
2324--	F, 140283989773072
2325--	F, 140283989738528
2326--	M, 140283989731024, 163
2327--	F, 140283989761392
2328--	F, 140283989772208
2329--	F, 140283989750272
2330--	M, 140283989773056, 425
2331--	M, 140283989737136, 139
2332--	M, 140283989761392, 120
2333--	M, 140283989775504, 215
2334--	M, 140283989772208, 300
2335--	M, 140283989722832, 408
2336--	M, 140283989722048, 305
2337--	F, 140283989753760
2338--	M, 140283989750272, 236
2339--	M, 140283989752944, 129
2340--	F, 140283989771040
2341--	M, 140283989771040, 457
2342--	F, 140283989764800
2343--	M, 140283989764064, 120
2344--	F, 140283989742992
2345--	F, 140283989722384
2346--	M, 140283989776288, 120
2347--	M, 140283989736384, 131
2348--	F, 140283989728304
2349--	F, 140283989740432
2350--	M, 140283989722368, 100
2351--	F, 140283989749440
2352--	F, 140283989726992
2353--	M, 140283989788768, 387
2354--	F, 140283989778656
2355--	F, 140283989738016
2356--	M, 140283989742992, 419
2357--	F, 140283989757744
2358--	M, 140283989763120, 286
2359--	F, 140283989747568
2360--	F, 140283989767280
2361--	M, 140283989757744, 153
2362--	F, 140283989723440
2363--	M, 140283989723440, 122
2364--	F, 140283989748320
2365--	F, 140283989736928
2366--	F, 140283989760416
2367--	F, 140283989785200
2368--	F, 140283989756384
2369--	M, 140283989748320, 385
2370--	M, 140283989753760, 331
2371--	M, 140283989760416, 352
2372--	M, 140283989743424, 66
2373--	M, 140283989747568, 256
2374--	F, 140283989731360
2375--	M, 140283989731360, 273
2376--	F, 140283989762640
2377--	M, 140283989726992, 216
2378--	M, 140283989785168, 381
2379--	F, 140283989786144
2380--	M, 140283989785552, 145
2381--	F, 140283989775728
2382--	M, 140283989731648, 98
2383--	M, 140283989738016, 406
2384--	F, 140283989730384
2385--	M, 140283989738432, 450
2386--	F, 140283989774016
2387--	F, 140283989763632
2388--	M, 140283989756384, 248
2389--	F, 140283989781184
2390--	F, 140283989733328
2391--	F, 140283989749792
2392--	M, 140283989760768, 124
2393--	F, 140283989739456
2394--	F, 140283989733520
2395--	F, 140283989786592
2396--	F, 140283989754240
2397--	F, 140283989769408
2398--	M, 140283989769408, 325
2399--	M, 140283989730384, 135
2400--	M, 140283989786144, 54
2401--	F, 140283989783136
2402--	M, 140283989739440, 232
2403--	M, 140283989762640, 281
2404--	M, 140283989781152, 278
2405--	F, 140283989747872
2406--	M, 140283989747824, 347
2407--	F, 140283989784480
2408--	M, 140283989784480, 211
2409--	M, 140283989784704, 162
2410--	M, 140283989786592, 384
2411--	M, 140283989733520, 469
2412--	M, 140283989763632, 362
2413--	F, 140283989725072
2414--	F, 140283989768752
2415--	M, 140283989754240, 459
2416--	F, 140283989757744
2417--	F, 140283989773488
2418--	M, 140283989725072, 322
2419--	M, 140283989733328, 178
2420--	M, 140283989749792, 351
2421--	F, 140283989799408
2422--	F, 140283989769744
2423--	F, 140283989797984
2424--	F, 140283989786208
2425--	F, 140283989773632
2426--	F, 140283989741648
2427--	F, 140283989785168
2428--	F, 140283989722368
2429--	M, 140283989783136, 496
2430--	M, 140283989797984, 421
2431--	M, 140283989741600, 259
2432--	M, 140283989799408, 489
2433--	F, 140283989755984
2434--	M, 140283989755984, 284
2435--	M, 140283989785168, 232
2436--	F, 140283989776528
2437--	M, 140283989786208, 266
2438--	F, 140283989756384
2439--	F, 140283989771840
2440--	F, 140283989737280
2441--	M, 140283989737280, 427
2442--	M, 140283989773488, 182
2443--	F, 140283989773056
2444--	M, 140283989776416, 464
2445--	M, 140283989756384, 214
2446--	F, 140283989785712
2447--	M, 140283989773056, 399
2448--	F, 140283989784480
2449--	M, 140283989757744, 163
2450--	F, 140283989759840
2451--	M, 140283989794144, 431
2452--	M, 140283989794576, 472
2453--	F, 140283989783136
2454--	F, 140283989781152
2455--	F, 140283989764608
2456--	M, 140283989785712, 98
2457--	F, 140283989778864
2458--	F, 140283989728848
2459--	F, 140283989746016
2460--	M, 140283989784480, 180
2461--	M, 140283989783136, 442
2462--	M, 140283989759840, 334
2463--	F, 140283989764224
2464--	M, 140283989781152, 303
2465--	F, 140283989749504
2466--	F, 140283989735776
2467--	F, 140283989760768
2468--	F, 140283989783632
2469--	M, 140283989728848, 85
2470--	M, 140283989775728, 68
2471--	M, 140283989771840, 274
2472--	F, 140283989761840
2473--	M, 140283989783584, 381
2474--	M, 140283989745968, 309
2475--	M, 140283989783968, 76
2476--	M, 140283989735744, 170
2477--	F, 140283989753184
2478--	M, 140283989753184, 349
2479--	F, 140283989775808
2480--	F, 140283989801344
2481--	F, 140283989733136
2482--	F, 140283989723872
2483--	M, 140283989746288, 145
2484--	M, 140283989746448, 67
2485--	M, 140283989775808, 457
2486--	M, 140283989723840, 272
2487--	M, 140283989736912, 90
2488--	F, 140283989794144
2489--	M, 140283989801344, 320
2490--	F, 140283989764864
2491--	F, 140283989739232
2492--	F, 140283989751328
2493--	M, 140283989761840, 109
2494--	F, 140283989744784
2495--	M, 140283989760768, 128
2496--	F, 140283989725776
2497--	F, 140283989744640
2498--	F, 140283989755744
2499--	F, 140283989740096
2500--	M, 140283989794144, 428
2501--	M, 140283989740096, 306
2502--	F, 140283989755984
2503--	F, 140283989731216
2504--	F, 140283989771840
2505--	M, 140283989771840, 326
2506--	M, 140283989750144, 124
2507--	M, 140283989755744, 318
2508--	F, 140283989784400
2509--	F, 140283989734000
2510--	F, 140283989758992
2511--	M, 140283989744640, 366
2512--	F, 140283989744288
2513--	M, 140283989725776, 100
2514--	F, 140283989773488
2515--	M, 140283989758960, 282
2516--	M, 140283989778656, 447
2517--	M, 140283989764192, 427
2518--	F, 140283989759472
2519--	F, 140283989728384
2520--	M, 140283989773456, 235
2521--	M, 140283989745008, 198
2522--	M, 140283989764624, 346
2523--	F, 140283989740832
2524--	M, 140283989795056, 431
2525--	M, 140283989764976, 278
2526--	F, 140283989785712
2527--	F, 140283989735584
2528--	M, 140283989795488, 402
2529--	M, 140283989749440, 213
2530--	M, 140283989733136, 170
2531--	F, 140283989762640
2532--	M, 140283989728304, 284
2533--	M, 140283989762640, 260
2534--	M, 140283989740832, 302
2535--	F, 140283989775728
2536--	F, 140283989733136
2537--	F, 140283989777328
2538--	F, 140283989758160
2539--	M, 140283989795904, 449
2540--	F, 140283989779264
2541--	F, 140283989798944
2542--	M, 140283989758064, 421
2543--	M, 140283989796368, 398
2544--	M, 140283989785408, 138
2545--	M, 140283989779264, 103
2546--	M, 140283989796768, 379
2547--	M, 140283989798944, 264
2548--	M, 140283989802352, 417
2549--	M, 140283989802784, 387
2550--	F, 140283989736384
2551--	M, 140283989736384, 144
2552--	F, 140283989753184
2553--	F, 140283989738432
2554--	M, 140283989741136, 61
2555--	F, 140283989771520
2556--	F, 140283989797232
2557--	M, 140283989756064, 251
2558--	M, 140283989753184, 354
2559--	M, 140283989797152, 423
2560--	M, 140283989738432, 465
2561--	F, 140283989723440
2562--	F, 140283989776416
2563--	F, 140283989799408
2564--	F, 140283989763472
2565--	M, 140283989739232, 205
2566--	F, 140283989752720
2567--	F, 140283989737136
2568--	F, 140283989729280
2569--	M, 140283989777328, 233
2570--	F, 140283989728944
2571--	F, 140283989725072
2572--	M, 140283989771504, 325
2573--	F, 140283989791632
2574--	F, 140283989721728
2575--	M, 140283989725072, 358
2576--	F, 140283989773920
2577--	F, 140283989762640
2578--	F, 140283989747408
2579--	F, 140283989746528
2580--	M, 140283989799408, 480
2581--	F, 140283989767408
2582--	F, 140283989784048
2583--	M, 140283989747408, 147
2584--	F, 140283989726528
2585--	M, 140283989729280, 214
2586--	M, 140283989738912, 81
2587--	F, 140283989779408
2588--	F, 140283989761952
2589--	F, 140283989755200
2590--	F, 140283989760192
2591--	F, 140283989723248
2592--	M, 140283987631632, 293
2593--	M, 140283987631936, 393
2594--	M, 140283987632336, 270
2595--	M, 140283987632608, 104
2596--	F, 140283989744640
2597--	F, 140283989734720
2598--	F, 140283989730576
2599--	M, 140283987632720, 110
2600--	M, 140283987632832, 288
2601--	F, 140283989738016
2602--	F, 140283989736624
2603--	F, 140283989729696
2604--	F, 140283989771840
2605--	M, 140283987633120, 230
2606--	F, 140283989775504
2607--	M, 140283987633360, 263
2608--	M, 140283987633632, 170
2609--	M, 140283987633808, 170
2610--	F, 140283989801856
2611--	M, 140283987633984, 75
2612--	M, 140283987634064, 436
2613--	M, 140283987634512, 444
2614--	F, 140283989758064
2615--	F, 140283989790176
2616--	F, 140283989747824
2617--	M, 140283987634960, 373
2618--	M, 140283987635344, 183
2619--	M, 140283987635536, 131
2620--	M, 140283987635680, 97
2621--	F, 140283989764976
2622--	M, 140283987635792, 379
2623--	M, 140283987636176, 112
2624--	M, 140283987636288, 293
2625--	M, 140283987636592, 486
2626--	F, 140283989736912
2627--	M, 140283987637088, 289
2628--	F, 140283989778496
2629--	F, 140283989724208
2630--	M, 140283987637392, 326
2631--	F, 140283989760416
2632--	F, 140283989743424
2633--	M, 140283987637728, 321
2634--	M, 140283987638064, 99
2635--	M, 140283987638176, 97
2636--	F, 140283989744416
2637--	F, 140283989727232
2638--	M, 140283987638288, 332
2639--	F, 140283989761520
2640--	M, 140283987638624, 208
2641--	F, 140283989745728
2642--	M, 140283987638832, 166
2643--	F, 140283989761840
2644--	M, 140283987639008, 345
2645--	F, 140283989797984
2646--	F, 140283989771504
2647--	F, 140283989751936
2648--	M, 140283987639360, 184
2649--	M, 140283987639552, 80
2650--	F, 140283989792976
2651--	M, 140283987639632, 388
2652--	F, 140283989801680
2653--	F, 140283989726272
2654--	M, 140283987640032, 152
2655--	M, 140283987640192, 91
2656--	M, 140283987640288, 301
2657--	M, 140283987640592, 217
2658--	M, 140283987640816, 222
2659--	F, 140283989741280
2660--	F, 140283987637728
2661--	F, 140283989783584
2662--	F, 140283989756832
2663--	F, 140283989731648
2664--	F, 140283989798448
2665--	M, 140283987637728, 236
2666--	F, 140283987639552
2667--	M, 140283987641040, 350
2668--	F, 140283989755504
2669--	F, 140283989754240
2670--	M, 140283987641392, 272
2671--	F, 140283989722832
2672--	F, 140283989722048
2673--	M, 140283987641664, 174
2674--	F, 140283989753760
2675--	F, 140283987632336
2676--	F, 140283989737744
2677--	F, 140283989725776
2678--	M, 140283987632336, 230
2679--	M, 140283987641840, 425
2680--	M, 140283987642272, 428
2681--	M, 140283987624688, 53
2682--	F, 140283989724144
2683--	F, 140283989780544
2684--	F, 140283989782720
2685--	M, 140283987642704, 108
2686--	M, 140283987642816, 410
2687--	M, 140283987643232, 119
2688--	M, 140283987643360, 225
2689--	F, 140283989787472
2690--	M, 140283987643600, 298
2691--	F, 140283989734096
2692--	M, 140283987643904, 470
2693--	M, 140283987644384, 469
2694--	M, 140283987644864, 104
2695--	M, 140283987644976, 409
2696--	F, 140283989785824
2697--	M, 140283987645392, 415
2698--	M, 140283987645808, 246
2699--	M, 140283987637968, 59
2700--	M, 140283987646064, 269
2701--	F, 140283989778080
2702--	M, 140283987646336, 62
2703--	F, 140283987636592
2704--	F, 140283987631632
2705--	F, 140283989766800
2706--	M, 140283987631632, 192
2707--	M, 140283987636592, 468
2708--	F, 140283987631632
2709--	M, 140283987646400, 318
2710--	F, 140283987635344
2711--	F, 140283989787008
2712--	M, 140283987631632, 212
2713--	F, 140283987637968
2714--	F, 140283989769408
2715--	F, 140283989774576
2716--	M, 140283987646720, 348
2717--	M, 140283987647072, 490
2718--	F, 140283989759312
2719--	M, 140283987647568, 348
2720--	F, 140283987631632
2721--	F, 140283987645808
2722--	F, 140283989757920
2723--	M, 140283987647920, 457
2724--	M, 140283987631856, 76
2725--	M, 140283987648384, 416
2726--	F, 140283989767120
2727--	F, 140283989754704
2728--	F, 140283989727392
2729--	M, 140283987648800, 326
2730--	M, 140283987635344, 98
2731--	M, 140283987645808, 230
2732--	M, 140283987649136, 417
2733--	F, 140283989755744
2734--	M, 140283987649568, 165
2735--	M, 140283987649744, 145
2736--	M, 140283987649904, 249
2737--	F, 140283987632720
2738--	F, 140283989762416
2739--	F, 140283989732656
2740--	F, 140283989752128
2741--	F, 140283989750816
2742--	M, 140283987650160, 497
2743--	M, 140283987650672, 360
2744--	F, 140283987636592
2745--	M, 140283987636592, 435
2746--	M, 140283987651040, 463
2747--	M, 140283987651504, 315
2748--	F, 140283987632336
2749--	M, 140283987631632, 168
2750--	M, 140283987651824, 259
2751--	F, 140283987640032
2752--	F, 140283989749024
2753--	F, 140283989738432
2754--	M, 140283987652096, 388
2755--	M, 140283987652496, 378
2756--	F, 140283989724656
2757--	F, 140283989784880
2758--	M, 140283987652880, 437
2759--	F, 140283987634512
2760--	F, 140283989789792
2761--	F, 140283989792480
2762--	M, 140283987632336, 264
2763--	F, 140283987638832
2764--	F, 140283987638176
2765--	F, 140283989758960
2766--	M, 140283987634512, 441
2767--	M, 140283987653328, 340
2768--	F, 140283989725456
2769--	F, 140283989747568
2770--	F, 140283987650160
2771--	M, 140283987635456, 50
2772--	F, 140283989789296
2773--	F, 140283989788368
2774--	M, 140283987650160, 495
2775--	F, 140283989756064
2776--	M, 140283987653680, 439
2777--	F, 140283987642272
2778--	M, 140283987640032, 139
2779--	M, 140283987638176, 107
2780--	F, 140283989722480
2781--	F, 140283987643600
2782--	M, 140283987638832, 135
2783--	F, 140283989741600
2784--	M, 140283987643600, 113
2785--	M, 140283987642272, 194
2786--	M, 140283987654128, 444
2787--	M, 140283987654576, 246
2788--	F, 140283989767888
2789--	F, 140283987643600
2790--	M, 140283987654832, 362
2791--	M, 140283987655200, 424
2792--	F, 140283987649568
2793--	F, 140283987646400
2794--	F, 140283989775024
2795--	F, 140283989780080
2796--	F, 140283987631632
2797--	F, 140283989721584
2798--	F, 140283989784480
2799--	M, 140283987637968, 94
2800--	F, 140283987642816
2801--	F, 140283989802352
2802--	M, 140283987642816, 335
2803--	F, 140283987652096
2804--	M, 140283987642480, 184
2805--	M, 140283987632720, 105
2806--	F, 140283989788432
2807--	M, 140283987652096, 366
2808--	M, 140283987643600, 304
2809--	M, 140283987655632, 373
2810--	M, 140283987646400, 237
2811--	F, 140283989753616
2812--	M, 140283987649568, 117
2813--	M, 140283987656016, 417
2814--	M, 140283987656448, 199
2815--	M, 140283987656656, 190
2816--	F, 140283989729280
2817--	F, 140283987632608
2818--	F, 140283989764064
2819--	F, 140283987644384
2820--	M, 140283987644384, 273
2821--	F, 140283989802784
2822--	M, 140283987656848, 427
2823--	F, 140283989789200
2824--	F, 140283987642704
2825--	M, 140283987631632, 200
2826--	F, 140283989745008
2827--	F, 140283987640816
2828--	M, 140283987657280, 461
2829--	F, 140283989730384
2830--	M, 140283987640816, 219
2831--	F, 140283987632720
2832--	F, 140283987637392
2833--	F, 140283987645392
2834--	M, 140283987644672, 167
2835--	F, 140283989757072
2836--	M, 140283987657744, 473
2837--	F, 140283989728064
2838--	M, 140283987637392, 336
2839--	F, 140283987653328
2840--	F, 140283987631632
2841--	F, 140283989786144
2842--	M, 140283987642672, 109
2843--	M, 140283987653328, 272
2844--	M, 140283987632608, 122
2845--	M, 140283987653600, 60
2846--	F, 140283987642480
2847--	F, 140283989763120
2848--	M, 140283987658224, 498
2849--	M, 140283987645392, 361
2850--	F, 140283987649744
2851--	M, 140283987649744, 159
2852--	M, 140283987642480, 147
2853--	M, 140283987658736, 359
2854--	F, 140283987653328
2855--	M, 140283987632736, 83
2856--	F, 140283987641840
2857--	F, 140283987641664
2858--	F, 140283987645392
2859--	F, 140283989741200
2860--	M, 140283987659104, 477
2861--	F, 140283987638832
2862--	M, 140283987641664, 447
2863--	F, 140283989761392
2864--	M, 140283987631632, 181
2865--	F, 140283987656016
2866--	M, 140283987645392, 362
2867--	F, 140283987648800
2868--	F, 140283989776288
2869--	M, 140283987648800, 326
2870--	M, 140283987653328, 222
2871--	M, 140283987656016, 165
2872--	M, 140283987646640, 69
2873--	M, 140283987656192, 228
2874--	M, 140283987642112, 117
2875--	F, 140283989765488
2876--	F, 140283989732544
2877--	F, 140283987658736
2878--	F, 140283987644976
2879--	F, 140283989751488
2880--	M, 140283987644976, 391
2881--	F, 140283987644384
2882--	F, 140283989769888
2883--	F, 140283989738912
2884--	F, 140283989739744
2885--	M, 140283987644384, 242
2886--	M, 140283987658736, 180
2887--	F, 140283989745968
2888--	F, 140283989764624
2889--	F, 140283989799920
2890--	M, 140283987659584, 408
2891--	M, 140283987658928, 173
2892--	M, 140283987660000, 232
2893--	F, 140283989736224
2894--	M, 140283987660240, 494
2895--	F, 140283987640592
2896--	F, 140283989752944
2897--	M, 140283987660736, 420
2898--	M, 140283987661168, 449
2899--	M, 140283987638832, 147
2900--	M, 140283987661632, 137
2901--	M, 140283987661776, 348
2902--	M, 140283987662128, 269
2903--	M, 140283987662400, 112
2904--	F, 140283987661168
2905--	M, 140283987661168, 250
2906--	M, 140283987662512, 242
2907--	F, 140283989765280
2908--	F, 140283989788768
2909--	M, 140283987643152, 62
2910--	M, 140283987662768, 489
2911--	M, 140283987663264, 337
2912--	F, 140283987648800
2913--	M, 140283987639552, 78
2914--	M, 140283987663616, 471
2915--	F, 140283989765952
2916--	M, 140283987648800, 244
2917--	F, 140283987647568
2918--	M, 140283987649056, 76
2919--	F, 140283987657280
2920--	M, 140283987647568, 264
2921--	M, 140283987657280, 327
2922--	M, 140283987664096, 432
2923--	M, 140283987664528, 250
2924--	F, 140283987658928
2925--	M, 140283987661424, 188
2926--	M, 140283987647840, 70
2927--	F, 140283989763536
2928--	M, 140283987664784, 373
2929--	F, 140283989745216
2930--	M, 140283987665168, 287
2931--	F, 140283989768304
2932--	M, 140283987658928, 175
2933--	F, 140283989749792
